p1,p2,p3,p4,p5,p6,r1,r2,r3,r4,r5,r6,p11,p21,p31,p41,p51,p61,r11,r21,r31,r41,r51,r61
0.7104166666666667,0.6565217391304348,0.25526315789473675,0.03958333333333329,0.0,0.01969230769230764,0.8846153846153846,0.3442622950819672,0.2269230769230769,0.06039510204081633,0.015928888888888888,0.0,0.4102564102564102,0.7514015151515152,0.4471491228070175,0.044444444444444425,0.08757894736842103,0.03388235294117646,0.2222222222222222,0.1212121212121212,0.0769230769230769,0.0013888888888888874,0.008720930232558126,0.0
0.7157894736842105,0.7,0.41315789473684206,0.0397959183673469,0.0,0.07410526315789472,0.903846153846154,0.4426229508196721,0.3423076923076923,0.08129306122448976,0.05385481481481478,0.0,0.423611111111111,0.7762743843939879,0.5145833333333333,0.06564102564102561,0.11762162162162162,0.06400000000000003,0.2222222222222222,0.1818181818181818,0.2692307692307692,0.0013888888888888874,0.052325581395348826,0.0
0.72,0.709090909090909,0.48,0.039999999999999966,0.0,0.08533333333333332,0.9423076923076924,0.4426229508196721,0.3846153846153846,0.09174204081632645,0.07281777777777777,0.0,0.4583333333333334,0.7831914893617022,0.5145833333333333,0.10666666666666663,0.12024242424242422,0.06874074074074074,0.2222222222222222,0.2121212121212121,0.2692307692307692,0.015277777777777776,0.0755813953488372,0.0
0.72,0.7510204081632652,0.5,0.039999999999999966,0.0,0.1386666666666667,0.9423076923076924,0.4590163934426229,0.4230769230769231,0.09174204081632645,0.1297066666666667,0.0,0.4814814814814815,0.7890163934426231,0.5666666666666668,0.11130434782608692,0.12800000000000003,0.12800000000000003,0.3333333333333333,0.2727272727272727,0.3846153846153846,0.029166666666666664,0.09302325581395347,0.0
0.721276595744681,0.790909090909091,0.5294117647058824,0.039999999999999966,0.0,0.16738461538461538,0.9423076923076924,0.4590163934426229,0.4615384615384615,0.09174204081632645,0.1486696296296296,0.0,0.534090909090909,0.8061904761904761,0.6129629629629629,0.11294117647058824,0.1307826086956522,0.15896774193548388,0.4444444444444444,0.2727272727272727,0.4615384615384615,0.029166666666666664,0.09593023255813952,0.0
0.7280898876404494,0.79375,0.5357142857142857,0.049999999999999975,0.0,0.192,0.9423076923076924,0.4754098360655737,0.5769230769230769,0.10219102040816333,0.1486696296296296,0.0,0.5470512820512821,0.8218032786885245,0.7154761904761905,0.11636363636363636,0.1315555555555556,0.16973913043478261,0.4444444444444444,0.4848484848484848,0.5769230769230769,0.029166666666666664,0.09883720930232558,0.0
0.73125,0.8415094339622642,0.5882352941176471,0.06063829787234036,0.0,0.192,0.9615384615384616,0.5573770491803278,0.5769230769230769,0.10219102040816333,0.1486696296296296,0.0,0.6287878787878787,0.8389795918367349,0.7813131313131313,0.12800000000000003,0.1315555555555556,0.22539130434782614,0.5555555555555556,0.5151515151515151,0.7307692307692307,0.043055555555555555,0.10174418604651163,0.0
0.7319148936170212,0.8585365853658538,0.6428571428571429,0.07222222222222224,0.0,0.28611764705882353,0.9807692307692308,0.6229508196721312,0.6923076923076923,0.10219102040816333,0.16763259259259258,0.0,0.7670833333333333,0.8585714285714285,0.8293478260869565,0.14222222222222222,0.14933333333333337,0.2583703703703704,0.5555555555555556,0.5454545454545454,0.7307692307692307,0.043055555555555555,0.10174418604651163,0.0
0.7348837209302326,0.8625,0.6521739130434783,0.07272727272727268,0.0,0.29866666666666664,0.9807692307692308,0.639344262295082,0.6923076923076923,0.11264000000000002,0.18659555555555554,0.0,0.8444444444444444,0.9029851262538915,0.832471264367816,0.14222222222222222,0.18285714285714286,0.2651428571428572,0.6666666666666666,0.7272727272727273,0.7307692307692307,0.043055555555555555,0.11627906976744184,0.0
0.7483870967741935,0.8904761904761904,0.8571428571428571,0.11410256410256404,0.0,0.29866666666666664,0.9807692307692308,0.6885245901639344,0.9230769230769232,0.11264000000000002,0.20555851851851847,0.0,0.8681,0.9310186757215622,0.9112179487179486,0.21661538461538463,0.18933333333333338,0.37688888888888883,0.8888888888888888,0.7272727272727273,0.7692307692307693,0.05694444444444445,0.12209302325581395,0.0
0.7568181818181818,0.95,1.0,0.12831325301204816,0.0,0.343578947368421,1.0,0.8688524590163934,1.0,0.11264000000000002,0.22452148148148152,0.0,0.9,0.9750230718523403,0.939080459770118,0.29866666666666664,0.25600000000000006,0.3817931034482759,1.0,1.0,1.0,0.05694444444444445,0.12209302325581395,0.0
